int_len,prob_err,prob_err_est,se,st
28.5,0.975,0.9978902041912079,1.0,0.9522969111800194
57.5,1.0,0.9522969126701355,1.0,0.9522969111800194
86.0,0.5,0.9473187923431396,0.55,0.9475972563028336
115.5,0.9,0.804980993270874,0.9,0.804980979859829
144.0,0.875,0.8080579340457916,0.85,0.7893481507897377
173.0,0.8500000000000001,0.8149881362915039,0.7250000000000001,0.7532345488667489
201.5,0.75,0.8178209662437439,0.675,0.7257044225931168
231.0,0.675,0.7857051491737366,0.6499999999999999,0.7083851173520088
259.5,0.575,0.7180960178375244,0.525,0.6245081670582294
288.5,0.55,0.6651910245418549,0.47500000000000003,0.5966661237180233
317.0,0.45,0.5481291115283966,0.4,0.5712211214005947
346.5,0.375,0.4839145839214325,0.375,0.5461638465523719
375.0,0.35,0.45527152717113495,0.35,0.5361746557056903
404.0,0.3,0.4362490773200989,0.3,0.5187739506363869
433.0,0.325,0.4224914312362671,0.275,0.47411111444234844
462.0,0.225,0.40252669155597687,0.275,0.47411111444234844
490.5,0.225,0.3962206691503525,0.2,0.4377929322421551
519.5,0.2,0.39991243183612823,0.2,0.4377929322421551
548.5,0.225,0.3883228600025177,0.2,0.4377929322421551
577.5,0.225,0.39790837466716766,0.175,0.4097728095948696
606.0,0.2,0.39101728796958923,0.175,0.4097728095948696
635.0,0.175,0.3931707888841629,0.175,0.4097728095948696
664.0,0.2,0.4048565477132797,0.175,0.40621758438646793
693.0,0.2,0.4117079824209213,0.175,0.40621758438646793
721.5,0.2,0.4019991010427475,0.175,0.3972352612763643
750.5,0.2,0.4070992022752762,0.175,0.3962448528036475
779.5,0.2,0.41296717524528503,0.175,0.40110303051769736
808.5,0.175,0.40685881674289703,0.175,0.4002154671819881
837.0,0.175,0.4013567268848419,0.175,0.4002154671819881
866.5,0.175,0.40091554820537567,0.175,0.4002154671819881
